epoch	train_loss	val_loss	train_subclass_acc	val_subclass_acc	train_group_acc	val_group_acc	train_qc_recall	val_qc_recall	train_qc_precision	val_qc_precision	train_qc_f1	val_qc_f1
19	1.00200828	0.93117683	50.30521038	54.29667073	65.77065620	68.42426355	40.44712345	36.82123246	43.66916550	47.18530102	41.99643494	41.36394791
20	0.99181473	0.92261048	50.88947024	54.22694788	66.26117288	67.32612864	40.30978178	45.88163514	44.25735109	45.26030695	42.19143074	45.56885320
21	0.97400496	0.91148367	51.80074123	54.73243856	66.78003052	67.03852188	41.81291012	45.85112874	45.31547176	44.03750366	43.49378944	44.92602003
22	0.95983303	0.89124647	52.89077829	56.54523270	66.98277741	68.16280286	45.58980620	39.07870653	45.63158699	46.04601006	45.61068702	42.27722772
23	0.94815125	0.90580536	53.04556355	55.59525885	67.10486157	67.53529719	46.79536090	46.82733374	45.77890573	45.12051734	46.28155303	45.95808383
24	0.94347707	0.89994275	53.36603445	54.44483179	67.31196861	66.20184766	47.80253319	52.28798048	46.00190910	43.32659252	46.88493920	47.38733757
25	0.93262862	0.86985778	54.31000654	57.19016908	67.76542402	70.25448841	49.46589348	41.27516779	46.74790885	50.31610264	48.06851042	45.34942182
26	0.92189212	0.87109591	54.37976891	57.05072337	67.79376499	66.97751438	49.52693423	61.77547285	46.62739746	44.75138122	48.03344803	51.90311419
27	0.91210405	0.91962727	55.12535426	56.17918773	67.83954654	71.09116263	52.31191821	39.04820012	46.92676249	52.93631100	49.47322846	44.94382022
28	0.90510576	0.88478823	55.49378679	57.29475336	68.43688685	71.15217012	51.89226309	39.38377059	47.76318562	55.24176294	49.74218321	45.98397150
29	0.89880000	0.86077116	55.66383257	55.63883563	69.04512753	63.69182500	51.04532275	71.11043319	48.97510981	42.27421110	49.98879175	53.02547771
30	0.89093650	0.83278264	56.42685851	58.20115043	69.31763680	66.00139446	51.77018160	71.01891397	49.06001446	44.25014256	50.37867538	54.52629113
31	0.88470417	0.83472771	56.35927622	59.29056998	69.03640724	68.66829353	53.13596826	61.92800488	48.62109893	47.14352067	50.77837325	53.53375527
32	0.87582199	0.82955865	56.98277741	58.75893324	69.32635710	70.72511766	54.49412483	47.16290421	49.02189581	50.08098477	51.61336947	48.57816182
33	0.87377822	0.84331050	57.15936342	58.43646505	69.91933726	69.74028238	52.83839463	58.93837706	50.31240918	48.94856853	51.54447339	53.48096886
34	0.86875818	0.80830203	57.16372357	60.30155133	69.56616525	71.57922259	54.63146650	59.51799878	49.34868013	51.42329995	51.85587543	55.17533937
35	0.86545846	0.81151435	57.69348158	60.65016559	70.11990408	71.49206903	54.36441325	60.34167175	50.42819732	50.90066907	52.32237929	55.22054718
36	0.85880008	0.82439162	58.03357314	58.80251002	70.01744059	73.67090814	55.43262628	45.88163514	50.02409970	58.18181818	52.58967027	51.30479277
37	0.85475232	0.80658873	58.11423588	58.95067108	70.61042075	72.33745860	53.50221273	36.08907871	51.41139380	56.17283951	52.43596934	43.94502229
38	0.85242351	0.84127146	58.23850011	58.08785079	70.74776542	70.95171693	55.37921563	53.78279439	51.24620490	51.10144928	53.23260846	52.40784780
39	0.84859619	0.81643062	58.30826248	59.83963744	70.56681927	68.07564929	54.89851976	70.53081147	51.05371461	46.65993946	52.90635685	56.16421717
40	0.84148571	0.81061427	58.68323523	59.77862995	70.83496839	71.91912149	55.54707767	56.77242221	51.33267522	52.48166949	53.35678687	54.54279015
41	0.84249024	0.78104991	58.43034663	61.35610946	70.62568127	71.94526756	55.28765451	56.00976205	51.11455982	51.87906188	53.11927278	53.86533666
42	0.83756248	0.79689913	58.98626553	60.51071989	70.95269239	72.45947359	56.27956661	53.23367907	51.46166190	53.52760736	53.76289223	53.38023861
43	0.83186955	0.79268262	59.13451057	61.11207948	71.09439721	73.84521527	55.35632535	49.93898719	51.98480940	56.93913043	53.61761880	53.20981635
44	0.83361046	0.77927947	58.97536516	61.65243158	70.75648572	71.47463831	56.43216847	61.86699207	51.19756334	51.36778116	53.68757259	56.13063936
45	0.82948931	0.80361955	59.39611947	60.97263378	71.35600610	71.48335367	56.63818099	62.69066504	52.42601879	51.69811321	54.45076105	56.66620709
46	0.82372735	0.78163699	59.63156747	61.69600837	71.26880314	73.55760851	57.07309629	49.45088469	52.17997907	57.52306600	54.51696367	53.18241470
47	0.82325671	0.79582264	59.76019185	60.75474987	71.57837366	69.92330486	56.07355410	68.85295912	52.91999712	48.94816743	54.45115400	57.21891241
48	0.82125509	0.77000471	59.71877044	62.35837546	71.76149989	73.32229388	56.19563559	51.92190360	52.94751977	55.04527814	54.52324548	53.43799058
49	0.81332382	0.77039659	60.05232178	62.68955900	71.46718988	75.29196444	57.63772318	45.85112874	52.19374007	63.76750106	54.78081149	53.34516415
50	0.81133472	0.76993034	60.37497275	61.62628552	72.03400916	69.85358201	56.69922173	74.19158023	53.27263603	48.75701684	54.93254482	58.84345512
51	0.80962915	0.78781520	60.29431001	61.06850270	72.16481360	72.93881820	57.11887685	56.43685174	53.46760946	55.68934377	55.23296565	56.06060606
52	0.80819679	0.76413919	60.36407238	62.73313579	71.99040767	72.63378072	56.92049443	67.14460037	53.53042480	52.51729897	55.17343392	58.93693935
53	0.80387800	0.77535157	60.63222150	62.03590727	72.09069108	71.00400906	58.04974821	67.81574131	53.35577530	50.56869882	55.60387356	57.93588741
54	0.80001920	0.76056947	60.49923697	62.82028935	72.04272945	71.67509151	55.60811842	71.04942038	53.52133363	51.67517195	54.54477416	59.83301220
55	0.79918873	0.74696333	60.72596468	63.56109465	72.34575976	73.04340248	57.85136579	70.56131788	53.67407617	53.24585635	55.68448884	60.69273157
56	0.79871600	0.78435573	60.75212557	61.01621056	72.35884020	70.92557086	57.40882039	67.78523490	53.64323399	50.44267877	55.46218487	57.84198881
57	0.79089591	0.76777437	61.03117506	62.27122189	72.47002398	74.20254488	58.71356631	44.02074436	53.95078174	60.07493755	56.23150280	50.80985915
58	0.79071023	0.75979418	61.02463484	62.35837546	72.11903205	75.57085585	57.79795514	39.99389872	53.33380272	65.06203474	55.47621663	49.53712450
59	0.78905180	0.74460548	61.39960759	63.90099355	72.78177458	76.31166115	57.56905234	46.06467358	54.46866878	65.22678186	55.97596261	53.99606651
60	0.78792052	0.77088376	61.17069980	63.10789611	72.66841073	74.05438382	57.63009309	62.59914582	54.28345551	56.05025949	55.90673575	59.14396887
61	0.78300764	0.76525202	61.65685633	62.60240544	72.95836058	72.45075824	59.08744087	55.27760830	54.78986840	52.98245614	56.85756241	54.10570319
62	0.78030406	0.74640297	61.58273381	63.05560397	72.46130368	71.42234617	59.57576682	68.51738865	53.68906003	50.92970522	56.47943868	58.42872008
63	0.78059033	0.78068803	61.69173752	62.16663762	72.90821888	70.88199407	57.92766672	73.12385601	54.74078881	50.28319698	56.28915663	59.58980733
64	0.77526735	0.79649837	62.17353390	61.61757016	73.41835622	70.55081053	59.24767282	77.66931056	55.11783078	50.25661271	57.10818563	61.02588686
65	0.77415252	0.72769465	62.27381731	64.30189995	73.21342926	74.01080704	58.57622463	64.36851739	55.28589947	55.03390715	56.88352104	59.33633296
66	0.77258497	0.76326057	62.64660998	63.95328569	73.47721823	74.17639881	59.48420571	65.07016473	55.58645276	55.51795940	57.46931554	59.91573034
